,avg_salary,company,rating,job title,location,job description,company_type,company_sector,company_industry,age,title,python,spark,Machine Learning,phd,master,min_salary,max_salary
10,43.0,Inetum,3.4,Data Analyst Industrie 4.0 H/F,Toulouse,"Mission
Notre équipe Data accompagne essentiellement des industriels et des grands comptes dans la collecte, le traitement et la valorisation de leurs données usine en France et en Europe.
A ce titre votre poste consistera à :
Piloter la gestion, la gouvernance et la généalogie des données de production
Participer à l'enrichissement de l'entrepôt de données
Contribuer à l’extraction, au raffinage et à la qualification des données pour les besoins statistiques ou analytiques,
Développer et Améliorer les algorithmes d’analyse et de traitement de données,",Company - Private,Information Technology,Information Technology Support Services,53,junior,0,0,0,0,0,39,47
11,43.0,LIMAGRAIN EUROPE SAS,4.1,Analyste de données en sélection Maïs (H/F),Ennezat,"Famille de métier
RECHERCHE ET INNOVATION - SELECTION VARIETALE
Type de contrat
CDD
Durée du contrat
12 mois
Temps de travail",Company - Private,Agriculture,Crop Production,58,junior,0,0,0,0,0,39,47
12,43.0,Atmosphères,3.3,Data Analyst H/F,Bois-d'Arcy,"Atmosphères est l'une des agences marketing terrain experte dans le domaine de l'High Tech qui permet à ses clients de faire de leurs idées, une réalité ! ✨
Grâce à des prestations clés en main, sur-mesure, innovantes et personnalisables, nous accompagnons nos clients dans le développement de leur image de marque et la dynamisation des ventes, de manière à accroître leur visibilité et atteindre leurs objectifs au sein des différents points de vente partenaires, et ce, dans toute la France !
La Team Atmo a plus d'un tour dans son sac et nous pouvons proposer à nos clients des solutions aussi bien au niveau de la Force de Vente, Force de Formation, de l'Animation, et aussi des commandos Merchandising. Nous ne nous arrêtons pas à notre expertise High Tech ! Nous proposons également nos services à des marques de différents secteurs: jeux vidéo, jouets, bricolage, textile...
Notre équipe ne se repose pas sur ses acquis et tente chaque jour d'innover, de trouver des nouvelles idées et concepts créatifs afin de faire face à l'évolution du marché sans jamais oublier de mette le côté humain et la bonne humeur au coeur de notre stratégie !",Company - Private,Human Resources & Staffing,HR Consulting,21,junior,0,0,0,0,0,39,47
13,43.0,TOYOTA MATERIAL HANDLING FRANCE,2.5,Data Analyst CRM,Bussy-Saint-Georges,"Toyota Material Handling France, filiale du groupe TMHE (Toyota Material Handling Europe), constructeur de chariots élévateurs et spécialiste de la manutention interne depuis 1946, propose une gamme étendue de produits ainsi que des services performants, qui permettent de répondre à tous types de demande.
L’entreprise et ses 1000 collaborateurs répartis sur l'ensemble du territoire partagent des valeurs fortes qui favorisent le travail d’équipe, l’amélioration continue, la recherche de solutions consensuelles, le respect et le challenge.
Dans le cadre d’un remplacement, nous recherchons un Data Analyst CRM F /H localisé au siège de Bussy Saint Georges.
Rattaché(e) à la Direction Marketing et plus précisément au service Développement et Connaissance Client, vous administrez et assurez le fonctionnement et l’exploitation des bases de données utilisées par la Direction Commerciale. Vous êtes garant de l’intégrité, la mise à disposition et la fiabilité des bases de données notamment celles provenant du CRM. Véritable référent sur ces sujets, vous travaillez de façon transverse au développement de la culture « data » dans l’entreprise et aux opportunités business qu’elle offre.",Company - Private,"Construction, Repair & Maintenance Services",Commercial Equipment Services,56,junior,0,0,0,0,0,39,47
14,43.0,Damart,3.8,Data analyst senior - H/F,Roubaix,"Né en 1953 d'une innovation - l'iconique Thermolactyl - Damart, est une grande marque patrimoniale française, l'une des rares à être entrée dans le langage commun: ""il fait froid, mets ton Damart!"". Notre leadership sur le marché des séniors, en plein essor, est fondé sur une double expertise: le textile intelligent, source de bien-être pour toute les générations et le prêt-à-porter, dédié aux femmes de 55 ans et plus qui recherchent le style et le confort.
Pour séduire les nouvelles générations et conquérir nos clients de demain, nos 1000 collaborateurs en France réinventent chaque jour Damart et accélèrent sa transformation: innovation textile, nouveau style et nouvelle image, transition digitale pour une shopping expérience omnicanale, conquête de nouveaux marchés à l'international ...
Implantée en France, Belgique, Angleterre et Suisse, Damart poursuit aujourd'hui son développement à l'international: Après le Japon et les USA, la marque s'implante en Espagne, Italie, Australie, Liban, Chypre...",Unknown,Manufacturing,Consumer Product Manufacturing,-1,junior,0,0,0,0,0,39,47
15,43.0,CGI FINANCE,3.5,Data Scientist H/F,France,"Au sein de l’équipe Etudes & Stratégies, nous recherchons actuellement un(e) Data Scientist qui aura pour principales missions de :
Créer, calibrer et backtester des modèles prédictifs dans les différentes sphères d’activité de l’entreprise et notamment la gestion des risques (score d’octroi, fraude, etc.) mais aussi marketing (fidélisation, parcours client, etc.)
Tester dans ce cadre l’apport des méthodologies alternatives de type Machine Learning (benchmark avec les méthodologies classiques, interprétabilité, etc.)
Accompagner les utilisateurs de ces modèles dans l’identification du besoin, la compréhension et l’appropriation des solutions proposées
Participer à l’intégration des modèles dans les outils existants (études d’impact, simulations, etc.)
Documenter les modèles et participer aux travaux de validation auprès des instances de supervision",Company - Private,Financial Services,Banking & Lending,72,junior,0,0,0,0,0,39,47
16,43.0,L2C,4.0,Data Analyst - Editeur de logiciels Big data leader sur son domaine - Fxie + bonus déplafonné - H/F,Paris,"Sql / Talend
Data Engineer, Big Data Analyst, Data Analyst / CDI / Environ 65k€ / 7+ / Paris

Le poste
Créé il y a 8 ans, notre client est un éditeur de logiciels SAAS spécialisé dans la préparation et le traitement de données, pionnier dans les logiciels de data preparation no code et souverains. En phase active de croissance, cette société composée d’une quinzaine d’experts se positionne comme un véritable partenaire data auprès des acteurs publics, des grands comptes ou encore des ETI, en leur permettant de traiter et de valoriser leurs données de façon rapide et sécurisée. Spécialisée dans le big data, l’IA et le machine learning, notre client ambitionne de devenir l’un des leaders du secteur, en rendant les données fiables, accessibles et pertinentes. Ces solutions SAAS s’adaptent facilement aux infrastructures, rendant ainsi les équipes & projets data facilement autonomes. Vous interviendrez dans un environnement technologique de pointe, sur un projet ambitieux.",Company - Public,Management & Consulting,Research & Development,55,junior,0,0,0,0,0,39,47
17,43.0,Peroptyx,-1.0,Analyste de données H/F,Paris,"Vous recherchez un horaire de travail flexible ? Un deuxième revenu peut-être ou une expérience enrichissante pour lancer votre carrière ??
Chez Peroptyx, vous pouvez planifier vos journées en fonction d'un horaire de travail très flexible, travailler le week-end ou tard le soir depuis votre bureau à domicile. La flexibilité de nos postes minimise l'impact sur votre routine quotidienne..
Que vous soyez un étudiant cherchant à gagner sa vie tout en apprenant, un retraité à la recherche d'un nouveau défi, un professionnel à temps partiel ou un parent travaillant à domicile, Peroptyx a le poste qu'il vous faut !!
Depuisdes milliers d'années, les cartes fournissent aux humains les connaissancesdont ils ont besoin pour prendre des décisions. En tant qu'évaluateur decartes, vous aurez l'occasion de fournir la vérité du terrain pour votre villeou votre pays.",Company - Private,Information Technology,Internet & Web Services,5,junior,0,0,0,0,0,39,47
18,43.0,Teleperformance Portugal,4.2,Data analyst campagne publicitaire Pinterest à Lisbonne (f/h/x),France,"Vous êtes francophone, passionné par le marketing digital et avez un esprit analytique ? Travaillez avec Pinterest et lancez-vous dans ce nouveau défi !
En tant qu’analyste publicitaire, votre rôle sera d'analyser les données des campagnes marketing numérique de notre client dans le but d’optimiser leur profit.
Vous travaillerez sur le marché français et contribuerez à créer une meilleure expérience pour les utilisateurs. Êtes-vous prêt ?
Notre Client
Pinterest constitue le meilleur moteur de recherche visuelle dans le monde utilisé par plus de 300 millions de personnes. C'est une plateforme de partage d'idées et de créativité et aussi, l'endroit idéal pour trouver les produits et les marques les plus innovants, trouver l'inspiration et rêver.
Responsabilité",Company - Private,Telecommunications,Telecommunications Services,45,junior,0,0,0,0,0,39,47
19,43.0,Procter & Gamble,4.2,Data Analyst,Paris,"Job Location Paris

Job Description
Are you energized by solving tough business problems?
Do you have a passion to transform P&G's brand building while enabling better decision-making with cutting (e.g.
ranging from Data Science to Behavioral Science)?
If so, then a role in the Analytics and Insights organization is for you!
The Analytics & Insights career in P&G takes you across a breadth of experiences, on multiple P&G businesses,
likely in multiple countries, always with an international perspective, always fast-paced.
It is a unique opportunity to develop both the ever-more demanded Data Science skillset and the strategic
thinking needed to manage P&G business.
The most distinguishing traits of whom we hire in A&I are curiosity and mental agility to relentlessly learn more (esp. about business, but equally also psychology, mathematics, and coding): all we need is an eagerness to learn,
the rest we will develop, as we grow our talents from within.


Earn the role of trusted advisor to the Business Unit Leadership Team

Deliver regular insights, by using advanced analytics techniques, mining extremely large data sets (the hyped Big Data), and applying best-in-class algorithms developed with/by other Data Scientists, examples could be building models to propose possible scenarios and answer the toughest business questions of the leadership team, optimize algorithms in accuracy and performance to then recommend specific actions to your business partners, discover unknown truths by mining new data sets;

Develop closed-loop experimentation capabilities, to test and learn about key business questions;

Lead and improve the analytical program of your business unit, together with the other functions: design the data strategy for the business unit adopt the right platform and big data technologies.
Grow the organization’s knowledge and skills in the space of Data & Analytics:

Take from proof of concept to scaled capabilities the best innovative algorithms from your colleagues and operationalize best-in-class Data-science practice (e.g. cross validation and target shuffling) to all key models and algorithms;

Collaborate in a multi-functional team.
So, here’s your opportunity! Join Analytics & Insights and help us anticipate what consumers want and find out what they need.

Job Qualifications


Studying towards MSc in a quantitative field, e.g. Engineering, Data Science, Statistics, Computer Science, Physical Sciences or Quantitative Social Science;

Ability to handle multiple priorities and you have either an entrepreneur or consultancy mindset and passion for business while technically (data) savvy;

Work experience or certification in SQL, Python and/or R;

Strong analytical skills, using multiple data sources, with the ability to query and analyze data;

Creativity, Innovation, Initiative, Follow-Through, Strong written and verbal communication;

Experience from school/work that demonstrates strong leadership through envisioning, direction setting, enrolling others and thinking/problem solving.


27 paid vacation days

13 RTT (out of which 5 are collective ones)

3 bridge days offered by the company

Profit sharing

Company saving plan with company contribution

Health mutual and insurance

Company support for 50% on public transports costs in Paris area or eco mobility support (eg. bike)

Tickets Restaurant card by Edenred (optional)

Company restaurant

Work from Home (2 to 3 days/week, depending on the job)

Conciergerie services on site

Gym room on site for free

Work Council offers & subsidies

Xmas hamper

Coupons on our P&G products
ARE YOU EXCITED ABOUT THE ROLE? DEEP DIVE INTO P&G AND CHECK THE BELOW INSIGHTFUL LINKS:

1) application, 2) online assessments and 3) interviews. Click here to get all the tips to be fully prepared.

P&G is driven to make life better, not just within the company, but across the globe. Click here to check out how we make a meaningful impact on the world .

We are the world’s largest consumer goods company. Click here to discover about our iconic brands .
Encouraging diversity in all its forms, P&G is committed to creating an inclusive work environment and promotes equal opportunities.

Job Schedule Full time

Job Number R000076000

Job Segmentation Recent Grads/Entry Level (Job Segmentation)",Company - Public,Manufacturing,Consumer Product Manufacturing,186,junior,1,0,0,0,0,39,47
20,43.0,CS GROUP,3.6,Ingénieur Data Scientist expérimenté - F/H,Toulouse,"Description de l'entreprise

La mission de CS GROUP : être à la pointe des technologies pour garantir la sécurité de tous dans un monde en pleine mutation. L’expertise reconnue du groupe lui permet d’intervenir là où les enjeux sont les plus critiques : aéronautique, défense, énergie, spatial. Et, aussi, là où les réponses sont à inventer ou à réinventer : lutte anti-drones, cybersécurité…
Notre esprit Tech et pragmatique, ainsi que notre agilité d’ETI nous permettent d’allier proximité, engagement et innovation, pour diffuser notre culture à tous les niveaux : dans la relation client, dans le mode de management interne, dans notre engagement social et environnemental…
Et bien sûr, dans le développement de votre carrière, notre ambition est de faire de vous un collaborateur accompli : formations, revue de carrière, mobilité, programme ambassadeur…",Company - Private,Information Technology,Information Technology Support Services,55,junior,0,0,0,0,0,39,47
21,43.0,Caisse d'Epargne Ile de France,4.0,Data Analyste H/F,Paris,"Description de l'entreprise
Qui sommes-nous ?
Banque régionale coopérative, première actionnaire du Groupe BPCE, la Caisse d’Epargne Ile-de-France exerce son activité depuis plus de 200 ans et finance tous les domaines de l’économie et l’ensemble des acteurs de l’Ile-de-France : collectivités locales, logements sociaux, entreprises, institutionnels, particuliers et professionnels.
Notre réseau ?
La Caisse d’Epargne Ile-de-France regroupe un réseau de 430 agences et 30 centres d’affaires répartis sur l’ensemble du territoire francilien, ainsi qu’une Banque Privée, et accompagne le développement de trois filiales : La Banque BCP, la Banque de Tahiti et la Banque de Nouvelle Calédonie.",Company - Public,Financial Services,Banking & Lending,14,junior,0,0,0,0,0,39,47
22,43.0,FED Finance,4.0,DATA ANALYST,France,"FED FINANCE, cabinet de recrutement spécialisé recherche pour une banque privée de renom un : DATA ANALYST H/F
Votre fonction
Rattaché au Responsable de service, vos principales missions seront les suivantes :
extraction et recueil des données pertinentes;
traitement et analyse des données;
mise en place des tableaux de bord pour les différentes équipes ;
recommandations aux Managers;
gestion et mise à jour des outils d'analyse...",Company - Private,Human Resources & Staffing,HR Consulting,13,junior,0,0,0,0,0,39,47
23,43.0,Seyos,4.7,Data Analyst - H/F,Suresnes,"Description de l'entreprise :
Seyos est un cabinet de recrutement spécialisé dans les métiers de l'IT. Nous intervenons au niveau national et proposons aux candidats des opportunités professionnelles au sein d'éditeurs de logiciels, DSI d'entreprises (clients finaux), startups, acteurs E-commerce. En 8 années d'existence, plus de 1 000 professionnels de l'IT et du Digital ont déjà été recrutés par l'intermédiaire de Seyos au sein de 300 entreprises.

Description du poste :
Notre client, créé en 2007 et composé de 18 collaborateurs, est spécialisé dans la valorisation de données liées aux véhicules et leurs possesseurs. À partir des données SIV issu du ministère de l'Intérieur, il propose une solution de marketing stratégique. Ses données leur permettent d'offrir des solutions puissantes d'analyse et de conquête pour les secteurs de l'automobile, de la banque, de l'assurance, de l'énergie et du web.

Cette entreprise innovante en forte croissance (10 millions de CA) est aujourd'hui un des acteurs majeurs dans la valorisation de données liées aux véhicules.

Suresnes (92150)
Python, SAS, R, PostgreSQL, Oracle
50 000 Euros (annuel) selon expérience.

Rattaché au département BI composé de 3 personnes et en collaboration avec le CTO, vos missions s'articuleront autour de 4 axes :",Company - Private,Human Resources & Staffing,HR Consulting,9,junior,1,0,0,0,0,39,47
24,43.0,Française des Jeux,4.2,Data Analyst F/H,Boulogne-Billancourt,"Contrat
Contrat à durée indéterminée (CDI)
Lieu
Boulogne-Billancourt (92)
Votre mission principale
Dans le cadre de l’amélioration du programme de détection, prévention et traitement de la fraude interne au sein du groupe FDJ, la DARCQE (Direction de l’Audit, Risques, Contrôles, Qualité et Ethique) recherche un/e Data Analyst Confirmé/e en CDI pour renforcer son équipe Data Analytics & Forensics composée de 3 personnes.",Company - Private,"Arts, Entertainment & Recreation",Gambling,90,junior,0,0,0,0,0,39,47
25,43.0,MAIF,3.9,Data Scientist - Computer Vision - NIORT ou PARIS H/F,Paris,"Intitulé du poste
Data Scientist - Computer Vision - NIORT ou PARIS H/F
Type de contrat
Contrat à durée indéterminée
Temps de travail
Plein temps
Description",Company - Private,Insurance,Insurance Carriers,89,junior,0,0,0,0,0,39,47
26,43.0,ALEIA,-1.0,Data scientist,Paris,"Passionné par le traitement de données et l’intelligence artificielle, tu participeras au développement de traitements de données et/ou de nouveaux algorithmes ou solutions permettant aux clients d’avoir les informations pour prendre des décisions, pour développer ou enrichir leurs applications d’intelligence artificielle.
Tu as également en charge de définir et de contribuer à choisir les meilleures technologies et les meilleurs algorithmes pour les traitements de données nécessaires, dont en particulier le machine/ deep learning.
Enfin tu contribues à intégrer ces solutions dans nos produits avec le meilleur niveau de fiabilité.
Dans ce cadre tu travailleras en étroite collaboration avec des développeurs et DevOps, au sein de projets agiles, pour que les produits soient le plus performants et attrayants pour les utilisateurs.
Tes responsabilités consisteront notamment à :",-1,-1,-1,-1,junior,0,0,0,0,0,39,47
27,43.0,Saint Gobain,4.0,Data & Analytics Security Officer,Courbevoie,"Missions et responsabilités

Within Group Digital & IT, Data & Analytics team provides data, technologies, platforms, algorithms and knowledge to make data accessible and usable to drive value creation while supporting data business initiatives through collaboration, expertise and innovation.
As Data Platform Security Officer, you are responsible for the Cybersecurity of services and platforms provided by Group Data & Analytics team. Reporting to Application Security Officers Team Manager, you are accountable for the implementation of cybersecurity strategy, operation and compliance on your perimeter (in alignment with Group IT and business strategy).
Within that context, your missions are to:
Build the security of the data platform






Job Reference: FRA16868",Company - Private,"Construction, Repair & Maintenance Services",Construction,358,junior,0,0,0,0,0,39,47
28,43.0,FIDUCIAL,3.8,Data Analyst - H/F,Lyon,"FIDUCIAL est le leader des services pluridisciplinaires aux petites entreprises, artisans, commerçants, professions libérales dans les métiers du droit, expertise comptabilité, banque, conseil financier, informatique, fourniture de bureau et sécurité.
Nous recrutons un Data Analyst (h/f) en alternance à Lyon.

Sous la responsabilité de l'ingénieur Data Scientist, rattaché au service marketing, vous serez en responsabilité de :
Répondre aux demandes data du service que ce soit au niveau prospection (base INSEE) que reporting (outils monitoring marketing)
Capacité d'assister le service dans la réalisation de reporting, indicateurs visuels, etc.
Être force de proposition et d'accompagnement sur des problématiques data (architecture, alimentation, analyse, optimisation de process, etc...)
Vous serez formé à nos outils et nos méthodologies de travail.
Vous rentrez ou vous êtes déjà en Master ou École d'ingénieur en alternance dans une filière proposant une formation liée à la data (Data Scientist, Data Analyst, Data Engineer etc..).
Vous avez idéalement une première expérience en stage dans le domaine de la data science.
Vous avez une connaissance du langage OOP Python, environnement R, SQL, API (effectuer des calls API), Data science et Data visualisation.
Vous maitrisez Excel (formule minimum).
Vous êtes curieux, rigoureux et méthodique.

Nous étudions avec la plus grande attention les candidatures des talents en situation de handicap et leurs éventuels besoins spécifiques.

Etudiant

Bac+4",Company - Private,Management & Consulting,Business Consulting,53,junior,1,0,0,0,1,39,47
29,43.0,MJV Technology & Innovation,4.2,Data Analyst,Lille,"Vos missions

Réaliser des analyses pour répondre aux différentes demandes business
Construire, automatiser et maintenir des reportings avec nos outils BI. Apporter votre expertise à l’interprétation des rapports.
S’assurer de la cohérence et de la qualité des données utilisées pour conduire les analyses
L’accompagnement et l’acculturation sur les bonnes pratiques de l’analyse de données. Vous êtes Data Driven et contribuez à la diffusion des savoirs-faire.
Maîtrise des outils d'analytics (Looker, PowerBI, Big Query)
Vos compétences

Avantages

Poste basé à Lezennes",Company - Private,Information Technology,Information Technology Support Services,26,junior,0,0,0,0,0,39,47
30,67.5,Française des Jeux,4.2,Data Analyst F/H,Boulogne-Billancourt,"Contrat
Contrat à durée indéterminée (CDI)
Lieu
Boulogne-Billancourt (92)
Votre mission principale
La Data Factory de la B.U. Loterie de la FDJ a vocation à explorer, transformer et valoriser la data pour permettre aux équipes marketing de piloter finement le business, comprendre les comportements clients et leurs évolutions, et agir de manière personnalisée et anticipée, tout en restant dans les limites du jeu responsable.",Company - Private,"Arts, Entertainment & Recreation",Gambling,90,junior,0,0,0,0,0,60,75
31,67.5,TotalEnergies,3.9,Data Scientist ML,Paris,"Systèmes d'Information
PARIS-RUE DES JEÛNEURS(FRA)
France
Description du poste
TotalEnergies a décidé d'accélérer la production interne de solutions digitales pour ses activités en créant une « Digital Factory ».
La « Digital Factory » TotalEnergies allie l'agilité et l'esprit pionnier d'une entreprise technologique à la robustesse et à la rigueur d'une entité de production à grande échelle.
Nous créons et déployons des solutions digitales sur l'ensemble des sites de la Compagnie TotalEnergies afin de fournir une énergie propre, fiable et abordable au plus grand nombre.",Company - Public,"Energy, Mining & Utilities",Energy & Utilities,99,junior,0,0,0,0,0,60,75
32,67.5,Cognira,4.3,Junior Data Scientist,Lille,"About us:
At Cognira, we strongly believe that people are the biggest asset of our company.
Our hand-picked team consists of passionate, collaborative, and forward-thinking individuals from all over the globe.
Our industry-leading PromoAI Solution leverages data science and AI to effectively manage the entire end-to-end promotion lifecycle in a single tool, allowing retailers to effectively plan, optimize, and analyze all types of promotions.
For the last three years in a row, Cognira has been recognized as one of the fastest-growing companies in North America. We are proud to have a growing team of domain experts and data scientists, as well as a culture that fosters strong and long-lasting relationships with our clients.",Company - Private,Information Technology,Enterprise Software & Network Solutions,8,junior,0,0,0,0,0,60,75
